2025-12-05 14:57:54 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 14:57:54 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 14:57:56 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 14:58:24 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 14:58:24 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 14:58:26 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 14:58:58 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 14:58:58 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 14:59:00 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 14:59:38 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 14:59:38 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 14:59:40 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 15:00:15 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 15:00:15 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 15:00:17 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 15:32:22 | INFO     | src.core.scheduler | Starting scheduler for TEST_SPORT - TEST_PROVIDER (interval: 1s)
2025-12-05 15:32:22 | INFO     | src.core.scheduler | Scheduler started with 1 active threads.
2025-12-05 15:32:24 | INFO     | src.core.scheduler | Scheduler stopped.
2025-12-05 18:37:40 | INFO     | src.core.health | Starting system health check
2025-12-05 18:37:40 | INFO     | src.core.health | ✓ Database file exists: /home/ds/betting-mkt-data/src/betting_markets.db
2025-12-05 18:37:40 | INFO     | src.core.health | System health check: PASSED
2025-12-05 18:42:02 | INFO     | src.core.health | System health check passed - Database accessible at /home/ds/betting-mkt-data/src/betting_markets.db with 0 tables
2025-12-05 18:42:19 | INFO     | src.core.health | System health check passed - Database accessible at /home/ds/betting-mkt-data/src/betting_markets.db with 3 tables
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for NFL - DraftKings (interval: 300s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for NFL - FanDuel (interval: 300s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for NBA - DraftKings (interval: 600s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for NBA - FanDuel (interval: 600s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for MLB - DraftKings (interval: 900s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Starting scheduler for MLB - FanDuel (interval: 900s)
2025-12-05 18:57:51 | INFO     | src.core.scheduler | Scheduler started with 6 active threads.
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 18:57:51 | INFO     | waitress | Serving on http://0.0.0.0:5000
2025-12-05 19:02:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 19:02:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 19:07:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 19:07:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
2025-12-05 19:07:51 | WARNING  | root | Failed to load provider from draftkings: No module named 'requests'
